collegeName,branch,category,quota,round,closingRank,cutoffYear
"Government College of Engineering, Amravati",Civil Engineering,ST,MH,1,9698,2019
"Government College of Engineering, Amravati",Computer Science and Engineering,SC,MH,1,3389,2019
"Government College of Engineering, Amravati",Information Technology,ST,MH,1,6384,2019
"Government College of Engineering, Amravati",Electrical Engineering,SC,MH,1,9970,2019
"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,ST,MH,1,9525,2019
"Government College of Engineering, Amravati",Instrumentation Engineering,ST,MH,1,13660,2019
"Government College of Engineering, Amravati",Mechanical Engineering,ST,MH,1,7194,2019
"Sant Gadge Baba Amravati University,Amravati",Food Technology,OBC,MH,1,21194,2019
"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,SC,MH,1,32067,2019
"Sant Gadge Baba Amravati University,Amravati",Paper and Pulp Technology,SC,MH,1,58606,2019
"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,SC,MH,1,32029,2019
"Government Engineering College, Yavatmal",Civil Engineering,OBC,MH,1,20224,2019
"Government Engineering College, Yavatmal",Computer Engineering,SC,MH,1,16200,2019
"Government Engineering College, Yavatmal",Electrical Engineering,OBC,MH,1,23602,2019
"Government Engineering College, Yavatmal",Electronics and Telecommunication Engg,SC,MH,1,27811,2019
"Government Engineering College, Yavatmal",Mechanical Engineering,OBC,MH,1,19259,2019
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and Engineering,OBC,MH,1,14119,2019
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,OBC,MH,1,17407,2019
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics and Power],OBC,MH,1,27062,2019
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,OBC,MH,1,33112,2019
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,SC,MH,1,19604,2019
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,OBC,MH,1,32149,2019
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,SC,MH,1,38173,2019
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Computer Science and Engineering,OBC,MH,1,22607,2019
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Computer Science and Engineering,OBC,MH,1,29343,2019
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Information Technology,OBC,MH,1,38076,2019
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Electronics and Telecommunication Engg,OBC,MH,1,61562,2019
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Electronics and Telecommunication Engg,General,MH,1,78637,2019
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Mechanical Engineering,SC,MH,1,37372,2019
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Mechanical Engineering,SC,MH,1,50997,2019
"P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati",Civil Engineering,OBC,MH,1,43898,2019
"P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati",Computer Science and Engineering,OBC,MH,1,29677,2019
"P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati",Electrical Engineering,SC,MH,1,51656,2019
"P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati",Electronics and Telecommunication Engg,OBC,MH,1,43834,2019
"P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati",Mechanical Engineering,SC,MH,1,66112,2019
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Civil Engineering,OBC,MH,1,34855,2019
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Computer Science and Engineering,OBC,MH,1,30297,2019
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Information Technology,OBC,MH,1,43100,2019
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Electronics and Telecommunication Engg,SC,MH,1,60248,2019
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Mechanical Engineering,SC,MH,1,43601,2019
"Shri Shivaji Education Society's College of Engineering and Technology, Akola",Civil Engineering,SC,MH,1,44451,2019
"Shri Shivaji Education Society's College of Engineering and Technology, Akola",Computer Science and Engineering,OBC,MH,1,45602,2019
"Shri Shivaji Education Society's College of Engineering and Technology, Akola",Chemical Engineering,SC,MH,1,38086,2019
"Shri Shivaji Education Society's College of Engineering and Technology, Akola",Mechanical Engineering,OBC,MH,1,44592,2019
"Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad",Civil Engineering,SC,MH,1,49552,2019
"Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad",Computer Science and Engineering,OBC,MH,1,33945,2019
"Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad",Electrical Engg[Electronics and Power],General,MH,1,64015,2019
"Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad",Electronics and Telecommunication Engg,OBC,MH,1,52361,2019
"Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad",Mechanical Engineering,OBC,MH,1,56817,2019
"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali",Computer Science and Engineering,OBC,MH,1,33925,2019
"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali",Information Technology,OBC,MH,1,28931,2019
"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali",Electronics and Telecommunication Engg,SC,MH,1,54763,2019
"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali",Chemical Engineering,SC,MH,1,42786,2019
"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali",Mechanical Engineering,OBC,MH,1,48149,2019
"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Civil Engineering,General,MH,1,44385,2019
"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Computer Science and Engineering,General,MH,1,47706,2019
"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Electrical Engineering,General,MH,1,81147,2019
"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Electronics and Telecommunication Engg,General,MH,1,69270,2019
"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Chemical Engineering,General,MH,1,53940,2019
"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Mechanical Engineering,General,MH,1,69017,2019
"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Textile Engineering / Technology,General,MH,1,81136,2019
"Shri Hanuman Vyayam  Prasarak Mandals College of Engineering & Technology, Amravati",Computer Science and Engineering,SC,MH,1,37368,2019
"Shri Hanuman Vyayam  Prasarak Mandals College of Engineering & Technology, Amravati",Information Technology,SC,MH,1,43453,2019
"Shri Hanuman Vyayam  Prasarak Mandals College of Engineering & Technology, Amravati",Electronics and Telecommunication Engg,OBC,MH,1,83544,2019
"Shri Hanuman Vyayam  Prasarak Mandals College of Engineering & Technology, Amravati",Mechanical Engineering,General,MH,1,78268,2019
"Dr.Rajendra Gode Institute of Technology & Research, Amravati",Civil Engineering,OBC,MH,1,79817,2019
"Dr.Rajendra Gode Institute of Technology & Research, Amravati",Computer Science and Engineering,OBC,MH,1,57608,2019
"Dr.Rajendra Gode Institute of Technology & Research, Amravati",Electronics and Telecommunication Engg,General,MH,1,69333,2019
"Dr.Rajendra Gode Institute of Technology & Research, Amravati",Mechanical Engineering,General,MH,1,83087,2019
"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana",Computer Science and Engineering,OBC,MH,1,64377,2019
"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana",Electrical Engineering,General,MH,1,55772,2019
"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana",Mechanical Engineering,General,MH,1,58404,2019
"Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati",Civil Engineering,OBC,MH,1,55835,2019
"Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati",Computer Science and Engineering,SC,MH,1,40536,2019
"Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati",Electrical Engineering,General,MH,1,84125,2019
"Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati",Electronics and Telecommunication Engg,General,MH,1,49660,2019
